[2025-01-09 10:35:02,408] 20 root - INFO - Initiate the data ingestion
[2025-01-09 10:35:04,943] 65 root - INFO - Performed train test split on the dataframe
[2025-01-09 10:35:04,943] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-01-09 10:35:04,958] 75 root - INFO - Exporting train and test file path.
[2025-01-09 10:35:05,007] 84 root - INFO - Exported train and test file path.
[2025-01-09 10:35:05,007] 22 root - INFO - Data Initiation Completed
[2025-01-09 10:35:05,019] 26 root - INFO - Initiate the data Validation
[2025-01-09 10:35:05,047] 34 root - INFO - Required number of columns:2
[2025-01-09 10:35:05,058] 35 root - INFO - Data frame has columns:31
[2025-01-09 10:35:05,058] 34 root - INFO - Required number of columns:2
[2025-01-09 10:35:05,058] 35 root - INFO - Data frame has columns:31
[2025-01-09 10:35:05,223] 28 root - INFO - data Validation Completed
[2025-01-09 10:35:05,223] 31 root - INFO - data Transformation started
[2025-01-09 10:35:05,223] 54 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-01-09 10:35:05,223] 56 root - INFO - Starting data transformation
[2025-01-09 10:35:05,257] 39 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-01-09 10:35:05,257] 44 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-01-09 10:35:05,287] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-01-09 10:35:05,292] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-01-09 10:35:05,292] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-01-09 10:35:05,294] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-01-09 10:35:05,294] 35 root - INFO - data Transformation completed
[2025-01-09 10:35:05,294] 37 root - INFO - Model Training sstared
[2025-01-09 10:42:38,820] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-01-09 10:42:38,820] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-01-09 10:42:38,820] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-01-09 10:42:38,887] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-01-09 10:42:38,887] 148 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\01_09_2025_10_34_58\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.991040521278762, precision_score=0.9912423625254583, recall_score=0.9908387622149837), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9753184713375797, precision_score=0.9668508287292817, recall_score=0.9839357429718876))
[2025-01-09 10:42:38,893] 42 root - INFO - Model Training artifact created
