[2025-01-08 19:41:21,550] 15 root - INFO - Initiate the data ingestion
[2025-01-08 19:41:23,590] 65 root - INFO - Performed train test split on the dataframe
[2025-01-08 19:41:23,590] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-01-08 19:41:23,590] 75 root - INFO - Exporting train and test file path.
[2025-01-08 19:41:23,678] 84 root - INFO - Exported train and test file path.
[2025-01-08 19:41:23,681] 17 root - INFO - Data Initiation Completed
[2025-01-08 19:41:23,688] 21 root - INFO - Initiate the data Validation
[2025-01-08 19:41:23,734] 34 root - INFO - Required number of columns:2
[2025-01-08 19:41:23,734] 35 root - INFO - Data frame has columns:31
[2025-01-08 19:41:23,734] 34 root - INFO - Required number of columns:2
[2025-01-08 19:41:23,734] 35 root - INFO - Data frame has columns:31
[2025-01-08 19:41:23,984] 23 root - INFO - data Validation Completed
